id,module_id,element_type,element_id,is_advanced,max_tries,score,position
5929825,0,task,5561,True,,0.0,2
5929752,0,task,5562,False,,1.0,4
5929847,0,task,5565,True,,0.0,9
5929732,0,task,5568,False,,1.0,12
5929827,0,task,5569,False,,1.0,13
5929801,0,task,5570,False,,1.0,6
5929818,0,task,5885,False,,1.0,5
5929853,0,task,5886,False,,1.0,10
5929823,0,task,5887,False,,1.0,11
5929779,0,video,1040,False,,,1
5929828,0,video,1041,False,,,3
5929839,0,video,1042,False,,,7
5929756,0,video,1043,False,,,8
5929731,1,task,6220,False,,1.0,2
5929899,1,task,6221,False,,1.0,3
5929824,1,task,6222,True,,0.0,4
5929768,1,task,6224,False,,1.0,7
5929800,1,task,6225,False,,1.0,8
5929791,1,task,6226,False,,1.0,9
5929873,1,task,6228,True,,0.0,11
5929859,1,task,6333,False,,1.0,6
5929735,1,task,6339,False,,1.0,10
5929865,1,video,1102,False,,,1
5929803,1,video,1103,False,,,5
5929793,4,task,5000,False,,1.0,4
5929878,4,task,5001,False,,1.0,5
5929851,4,task,5002,False,,1.0,6
5929771,4,task,5003,False,,1.0,7
5929748,4,task,5005,False,,1.0,8
5929743,4,task,5006,True,,0.0,10
5929777,4,task,5007,False,,1.0,14
5929812,4,task,5009,True,,0.0,16
5929761,4,task,5010,False,,1.0,15
5929849,4,task,5011,False,,1.0,13
5929917,4,task,5012,True,,0.0,12
5929841,4,task,5013,False,,1.0,11
5929760,4,task,5015,True,,0.0,17
5929890,4,task,5995,True,,0.0,18
5929799,4,task,8638,False,,1.0,9
5929733,4,text,594,False,,,1
5929727,4,video,925,False,,,3
5929815,4,video,1031,False,,,2
5929739,5,task,5461,False,,1.0,4
5929751,5,task,5463,False,,1.0,5
5929874,5,task,5465,True,,0.0,6
5929891,5,task,5467,False,,1.0,7
5929857,5,task,5471,False,,1.0,8
5929879,5,task,5474,True,,0.0,9
5929734,5,task,5476,False,,1.0,12
5929884,5,task,5483,True,,0.0,13
5929907,5,task,5484,True,,0.0,14
5929741,5,task,5523,True,,0.0,15
5929877,5,task,6006,False,,1.0,16
5929905,5,task,6010,False,,1.0,10
5929882,5,text,850,False,,,1
5929792,5,video,1035,False,,,2
5929885,5,video,1036,False,,,3
5929826,5,video,1037,False,,,11
5929820,9,task,6233,False,,1.0,6
5929900,9,task,6302,False,,1.0,7
5929854,9,task,6303,False,,1.0,9
5929742,9,task,6304,False,,1.0,8
5929816,9,task,6334,False,,1.0,3
5929876,9,task,6335,False,,1.0,4
5929782,9,task,6380,False,,1.0,2
5929915,9,video,1110,False,,,1
5929887,9,video,1111,False,,,5
5929906,10,task,6394,True,,0.0,11
5929795,10,task,6395,True,,0.0,12
5929736,10,task,6398,False,,1.0,13
5929897,10,task,6400,False,,1.0,3
5929737,10,task,6402,False,,1.0,5
5929750,10,task,6403,True,,0.0,7
5929911,10,task,6418,False,,1.0,8
5929866,10,task,6582,False,,1.0,6
5929845,10,task,8854,False,,1.0,2
5929769,10,task,9396,False,,1.0,10
5929886,10,video,1120,False,,,1
5929835,10,video,1121,False,,,4
5929855,10,video,1122,False,,,9
5929728,11,task,5464,False,,1.0,4
5929819,11,task,5468,False,,1.0,6
5929772,11,task,5469,False,,1.0,7
5929864,11,task,5470,False,,1.0,8
5929746,11,task,5472,True,,0.0,10
5929765,11,task,5475,False,,1.0,11
5929763,11,task,5481,True,,0.0,15
5929811,11,task,5482,True,,0.0,16
5929740,11,task,5584,True,,0.0,14
5929767,11,task,5878,True,,0.0,3
5929776,11,task,5879,False,,1.0,5
5929834,11,task,10959,True,,0.0,12
5929790,11,task,10960,False,,1.0,13
5929808,11,text,849,False,,,1
5929778,11,video,1038,False,,,2
5929908,11,video,1039,False,,,9
5929781,12,task,5229,True,,0.0,15
5929856,12,task,5243,False,,1.0,17
5929813,12,task,5872,True,,0.0,5
5929757,12,task,5873,False,,1.0,8
5929913,12,task,5874,False,,1.0,9
5929796,12,task,5875,True,,0.0,10
5929842,12,task,5876,False,,1.0,12
5929892,12,task,5877,True,,0.0,18
5929762,12,task,5996,True,,0.0,11
5929837,12,task,5998,False,,1.0,16
5929802,12,task,8653,True,,0.0,14
5929784,12,task,8662,False,,1.0,7
5929832,12,task,9597,True,,0.0,3
5929766,12,task,13357,False,,1.0,6
5929798,12,text,598,False,,,1
5929870,12,video,1032,False,,,2
5929838,12,video,1033,False,,,4
5929902,12,video,1034,False,,,13
